cv_id,position_idx,organization,linkedin,position,startDate,endDate,status,department,seniority,title_length,title_word_count,detected_language
0,0,Depot4Design GmbH,https://www.linkedin.com/company/depot4design-gmbh,Prokurist,2019-08,,ACTIVE,Other,Management,9,1,Other
0,1,Depot4Design GmbH,https://www.linkedin.com/company/depot4design-gmbh,CFO,2019-07,,ACTIVE,Other,Management,3,1,Other
0,2,Depot4Design GmbH,https://www.linkedin.com/company/depot4design-gmbh,Betriebswirtin,2019-07,,ACTIVE,Other,Professional,14,1,Other
0,3,Depot4Design GmbH,https://www.linkedin.com/company/depot4design-gmbh,Prokuristin,2019-07,,ACTIVE,Other,Management,11,1,Other
0,4,Depot4Design GmbH,https://www.linkedin.com/company/depot4design-gmbh,CFO,2019-07,,ACTIVE,Other,Management,3,1,Other
1,0,Computer Solutions,https://www.linkedin.com/company/computer-solutions,Solutions Architect,2024-03,,ACTIVE,Information Technology,Professional,19,2,English
2,0,Udo Weber,https://www.linkedin.com/company/udo-weber,Medizintechnik Beratung,2025-01,,ACTIVE,Consulting,Professional,23,2,Other
3,0,Grupo Viajes Kontiki.,,Director expansión de negocio.,2024-09,,ACTIVE,Business Development,Director,30,4,Spanish
3,1,Air & Ground Operations Consultancy,https://www.linkedin.com/company/agoc-spain,Gerente comercial,2024-04,,ACTIVE,Sales,Lead,17,2,Spanish
3,2,Viajes Oceano S.L.,,Administrador Unico,2010-12,,ACTIVE,Administrative,Professional,19,2,Spanish
4,0,Himmelstalunds Utbildningscentrum,,"APL-ansvarig, samordning",2019-08,,ACTIVE,Administrative,Lead,24,2,Other
5,0,FSD Fahrzeugsystemdaten GmbH,,Kaufmännischer Leiter,2007-05,,ACTIVE,Sales,Lead,21,2,German
6,0,MacDermid Enthone Industrial Solutions,https://www.linkedin.com/company/macdermid-enthone-industrial-solutions,Lab-Supervisor,2007,,ACTIVE,Other,Lead,14,1,English
7,0,Boise Cascade Company,https://www.linkedin.com/company/boise-cascade,Human Resources Generalist,2023-12,,ACTIVE,Human Resources,Professional,26,3,Other
8,0,PhoboSys GmbH,https://www.linkedin.com/company/phobosys-gmbh,Managing Director,2016-01,,ACTIVE,Other,Management,17,2,English
11,0,Twentieth Century Fox,https://www.linkedin.com/company/20th-century-studios,Set Lighting,2000-01,,ACTIVE,Other,Professional,12,2,Other
11,1,Sony,https://www.linkedin.com/company/sony,Set Lighting,2000-01,,ACTIVE,Other,Professional,12,2,Other
11,2,Warner Bros. Studios,https://www.linkedin.com/company/warner-bros.-studios,Set Lighting,2000-01,,ACTIVE,Other,Professional,12,2,Other
11,3,Paramount,https://www.linkedin.com/company/paramountco,Set Lighting,2000-01,,ACTIVE,Other,Professional,12,2,Other
11,4,NBCUniversal,https://www.linkedin.com/company/nbcuniversal-inc-,Set Lighting,2000-01,,ACTIVE,Other,Professional,12,2,Other
12,0,msg systems ag,,Projektmanager,2018-02,,ACTIVE,Project Management,Professional,14,1,English
13,0,Landeshauptstadt Wiesbaden,https://www.linkedin.com/company/stadt-wiesbaden,Leistungssachbearbeiter SGB II,2017-12,,ACTIVE,Other,Professional,30,3,German
14,0,ee concept gmbh,,energy and sustainability consultant bei,2014-01,,ACTIVE,Consulting,Professional,40,5,English
15,0,ACCOPPIATURA DI ASOLO S.P.A.,https://www.linkedin.com/company/asoltex,Purchasing Manager,2019-09,,ACTIVE,Purchasing,Professional,18,2,English
16,0,Team Jösten,https://www.linkedin.com/company/team-jösten,Geschäftsführer,2005-07,,ACTIVE,Other,Management,15,1,German
18,0,Swiss Life Asset Managers Deutschland,https://www.linkedin.com/company/swiss-life-asset-managers-deutschland,Senior Project Manager,2021-09,,ACTIVE,Project Management,Senior,22,3,English
20,0,Selbstständig,,Dr. phil.,2024-09,,ACTIVE,Other,Professional,9,2,Other
21,0,Thurm GmbH,https://www.linkedin.com/company/thurm-gmbh,"Geschäftsführer, CMO",2014-07,,ACTIVE,Marketing,Management,20,2,German
21,1,Gebrüder Weiß & Cie. KG,,Geschäftsführender Gesellschafter,2012-01,,ACTIVE,Other,Management,33,2,German
22,0,Vorruhestand,,Bereichsleiter Maschinen,1996-07,,ACTIVE,Other,Lead,24,2,German
23,0,Etse Electronics (Pty) Ltd,https://www.linkedin.com/company/etse-electronics,Principal RF Design Engineer,2003-09,,ACTIVE,Information Technology,Senior,28,4,English
24,0,Tallahassee Orthopedic Clinic,https://www.linkedin.com/company/tocorthopedics,Physician Assistant,2023-01,,ACTIVE,Other,Professional,19,2,English
27,0,Stork Lijmen,,Co-Owner,2002-01,,ACTIVE,Other,Management,8,1,Other
27,1,Stork Lijmen,,CEO,2002-01,,ACTIVE,Other,Management,3,1,Other
27,2,ESBA Horti Solutions BV,,CEO/Founder,2015-12,,ACTIVE,Other,Management,11,1,German
30,1,VR Bank Lahn-Dill,https://www.linkedin.com/company/vrbanklahndill,Qualifizierter Kreditsachbearbeiter im risikorelevanten Kreditgeschäft,1992-08,,ACTIVE,Other,Professional,70,5,German
31,0,Consultant Juridique International Ltd,https://www.linkedin.com/company/oliver-charles-associates,Director,2025-03,,ACTIVE,Other,Director,8,1,English
32,0,TALLY WEiJL,https://www.linkedin.com/company/tally-weijl,IT Systems and Network Engineer,2021-11,,ACTIVE,Information Technology,Professional,31,5,English
33,0,ALIUD PHARMA GmbH,https://www.linkedin.com/company/aliud-pharma®-gmbh,IT-Teamleiter,2022-08,,ACTIVE,Information Technology,Lead,13,1,German
33,1,ALIUD PHARMA GmbH,https://www.linkedin.com/company/aliud-pharma®-gmbh,Senior IT-Sicherheitsbeauftragter,2010-01,,ACTIVE,Information Technology,Senior,33,2,English
33,2,ALIUD PHARMA GmbH,https://www.linkedin.com/company/aliud-pharma®-gmbh,IT-Systemadministrator,2002-09,,ACTIVE,Information Technology,Professional,22,1,English
34,0,Hypergene,https://www.linkedin.com/company/hypergene,Senior Project Manager,2022-10,,ACTIVE,Project Management,Senior,22,3,English
36,0,Giesecke+Devrient,https://www.linkedin.com/company/giesecke-devrient,Head of HR/CHRO,2021-10,,ACTIVE,Human Resources,Lead,15,3,Other
39,0,Quest ontheFRONTIER,https://www.linkedin.com/company/quest-onthefrontier,Human Resources Consultant,2024-12,,ACTIVE,Consulting,Professional,26,3,English
41,0,Exelonix GmbH,https://www.linkedin.com/company/exelonix-gmbh,Managing Director,2013-02,,ACTIVE,Other,Management,17,2,English
44,0,FRANK GmbH,https://www.linkedin.com/company/frank-gmbh,Product Manager,2023-11,,ACTIVE,Project Management,Professional,15,2,English
45,0,Norra Halland,https://www.linkedin.com/company/norrahalland,Reporter,2024-06,,ACTIVE,Other,Professional,8,1,Other
45,1,Levantine Bistro,,Waiter & Bartender,2024-03,,ACTIVE,Other,Professional,18,3,German
46,0,EnBet Consulting,https://www.linkedin.com/company/enbet-consulting,Geschäftsführer,2021-02,,ACTIVE,Other,Management,15,1,German
47,0,TOPMOTIVE,https://www.linkedin.com/company/topmotive,CEO / Managing Shareholder,2013,,ACTIVE,Other,Management,26,4,German
47,2,DigitalNativeAlliance,https://www.linkedin.com/company/digitalnativealliance,Member of the Advisory Board,2025-01,,ACTIVE,Other,Management,28,5,Other
47,3,Studien- und Fördergesellschaft der Schleswig-Holsteinischen Wirtschaft e.V.,,Member of the Advisory Board,2022-08,,ACTIVE,Other,Management,28,5,Other
49,0,Wehner Consulting GmbH,https://www.linkedin.com/company/goodman-marketing,Geschäftsführer,2019-06,,ACTIVE,Other,Management,15,1,German
50,0,Kampffmeyer Food Innovation GmbH,,Director Sales,1989-01,,ACTIVE,Sales,Director,14,2,English
51,0,Lufthansa,https://www.linkedin.com/company/lufthansa,Sub-Stream Lead Simplify | Turnaround Programs,2025-01,,ACTIVE,Project Management,Lead,46,6,English
52,0,noury AG,https://www.linkedin.com/company/noury-ag,Chief Revenue Officer (CRO),2024-11,,ACTIVE,Sales,Management,27,4,English
54,0,Nordson Adhesive Dispensing Systems,https://www.linkedin.com/company/nordson-adhesive,Business Development Manager,2024-03,,ACTIVE,Business Development,Professional,28,3,English
55,0,myclimate,https://www.linkedin.com/company/myclimate,Projektleiterin Bildung,2021-06,,ACTIVE,Other,Lead,23,2,German
56,0,Dreamcatcher Alley,,Co Owner,2007,,ACTIVE,Other,Management,8,2,Other
57,0,Desjardins,https://www.linkedin.com/company/desjardins,"Practice Leader, Data Valorization Strategy",2025,,ACTIVE,Consulting,Lead,43,5,French
58,0,Sedef Shipbuilding Inc.,https://www.linkedin.com/company/sedef-shipyard,iş güvenliği,2020-02,,ACTIVE,Other,Professional,12,2,Turkish
